Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.08328035600762873, 0.16666666666666666, 1.0,  0.9438610663317573)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.08328035600762873, 0.16666666666666666, 1.0,  0.9438610663317573)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.15239096163951654, 0.2, 1.0,  0.9508203542983472)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.15239096163951654, 0.2, 1.0,  0.9508203542983472)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.1003904071388734, 0.8, 0.25,  0.9528976403736822)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.15239096163951654, 0.2, 1.0,  0.9508203542983472)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.15015806111696522, 0.2, 1.0,  0.9503605743559962)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.15239096163951654, 0.2, 1.0,  0.9508203542983472)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.15239096163951654, 0.2, 1.0,  0.9508203542983472)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.15283613445378152, 0.2, 1.0,  0.9509678404986197)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.15015806111696522, 0.2, 1.0,  0.9503605743559962)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.15239096163951654, 0.2, 1.0,  0.9508203542983472)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.28389444949954507, 0.3333333333333333, 0.8333333333333334,  0.9664160097246768)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.22742636407532593, 0.3333333333333333, 0.9090909090909091,  0.9715657745529322)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.23892554194156457, 0.2, 0.9090909090909091,  0.9700140362533805)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.2815, 0.3333333333333333, 0.8333333333333334,  0.9649111725790902)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.24750917671735712, 0.5, 0.8333333333333334,  0.9660949560726606)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.26939154667905246, 0.3333333333333333, 0.8333333333333334,  0.9655064205396975)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.13679745493107104, 0.5, 1.0,  0.9646911618902917)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.13679745493107104, 0.5, 1.0,  0.9646911618902917)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.13679745493107104, 0.5, 1.0,  0.9646911618902917)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.13679745493107104, 0.5, 1.0,  0.9646911618902917)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.13496280552603612, 0.5, 1.0,  0.9667426494243384)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.13496280552603612, 0.5, 1.0,  0.9667079015073713)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.13679745493107104, 0.5, 1.0,  0.9646911618902917)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.13679745493107104, 0.5, 1.0,  0.9646911618902917)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.13679745493107104, 0.5, 1.0,  0.9646911618902917)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.13679745493107104, 0.5, 1.0,  0.9646911618902917)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.2435344827586207, 0.3333333333333333, 0.7142857142857143,  0.9674367628712708)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.24818142918271288, 0.3333333333333333, 0.7142857142857143,  0.9677362262974852)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.15356321839080458, 0.5, 0.7857142857142857,  0.9699606581186964)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.2735729386892178, 0.3333333333333333, 0.7857142857142857,  0.9692379870858997)
